,SPY,M0,M1,M2,M3,M4,M5,M6,M7,M_Unified
2023-11-09 00:00:00+00:00,2.729036275989623,2.5540599019800796,2.538245078555749,2.5094273660920043,2.4772316408165476,2.548280789526594,2.548280789526594,2.548280789526594,0.9284237381639956,1.5143306054813512
2023-11-10 00:00:00+00:00,2.7275695994666487,2.552080571130604,2.537424912240611,2.5086771454314474,2.4759932592623053,2.546317842156452,2.546317842156452,2.546317842156452,0.9286040833102258,1.5156024538835855
2023-11-13 00:00:00+00:00,2.7097315917030387,2.5613581630998508,2.5452553981962236,2.516322451653742,2.483679398108695,2.5555277596725867,2.5555277596725867,2.5555277596725867,0.9293682779642185,1.5164115746462148
2023-11-14 00:00:00+00:00,2.720242952196436,2.5556191133788526,2.5401427958189142,2.511187751854113,2.4783304784911766,2.549781240202942,2.549781240202942,2.549781240202942,0.922924398706876,1.5118248951411444
2023-11-15 00:00:00+00:00,2.7631677312265936,2.552920031086284,2.5394678352181,2.510411058028646,2.4770579645771478,2.547102710885412,2.547102710885412,2.547102710885412,0.923546578313408,1.5113663266353752
2023-11-16 00:00:00+00:00,2.7708946651089446,2.5573251734618134,2.5417672257171806,2.5127404996199987,2.480145736828248,2.551494194887909,2.551494194887909,2.551494194887909,0.9250348671138542,1.5114704402459949
2023-11-17 00:00:00+00:00,2.768407412498522,2.5544644304861874,2.535360068191943,2.5063703118045675,2.474521323449925,2.548624366849693,2.548624366849693,2.548624366849693,0.921660460517612,1.508796727745748
2023-11-20 00:00:00+00:00,2.8011501431494295,2.558493088798655,2.5359028373596413,2.506624573644577,2.4765087135917194,2.5526602923733472,2.5526602923733472,2.5526602923733472,0.9215841442102579,1.512594141591461
2023-11-21 00:00:00+00:00,2.7703616755708915,2.5552294655760277,2.532300046056619,2.5030000344887737,2.4729601655526867,2.549426992075041,2.549426992075041,2.549426992075041,0.9205964237341415,1.513370470992691
2023-11-22 00:00:00+00:00,2.741192359256312,2.5570204700824903,2.5305160447902617,2.5013612228432764,2.47216305468738,2.551220694009783,2.551220694009783,2.551220694009783,0.9206651271696571,1.5124590351211575
2023-11-23 00:00:00+00:00,2.7434254397991937,2.5667543216921973,2.5361692283492725,2.5070646160398686,2.4789781371990394,2.5608725965032444,2.5608725965032444,2.5608725965032444,0.9207080175765633,1.5123061331484766
2023-11-24 00:00:00+00:00,2.7486836887240353,2.5670641900475593,2.5319062492795217,2.5025488631170383,2.4763771925331417,2.561151886007448,2.561151886007448,2.561151886007448,0.9138778823786855,1.5048703140232647
2023-11-27 00:00:00+00:00,2.744902494775142,2.556182577133425,2.5183669189970144,2.488900380703708,2.4645382463724923,2.5502959520433084,2.5502959520433084,2.5502959520433084,0.9097136007381172,1.5015342135977339
2023-11-28 00:00:00+00:00,2.7492079284224094,2.5590574717889263,2.528782801560973,2.4993579226919054,2.4717406084912112,2.5531903352031398,2.5531903352031398,2.5531903352031398,0.9119796412439288,1.5066920068088612
